Symbol,Series,ISIN,Sector
IDEA,EQ,INE669E01016,Communication Services
YESBANK,EQ,INE528G01035,Financial Services
IDFCFIRSTB,EQ,INE092T01019,Financial Services
NHPC,EQ,INE848E01016,Utilities
IRFC,EQ,INE053F01010,Financial Services
RVNL,EQ,INE415G01027,Industrials
BHEL,EQ,INE257A01026,Industrials
IOB,EQ,INE565A01014,Financial Services
UCOBANK,EQ,INE691A01018,Financial Services
PNB,EQ,INE160A01022,Financial Services
BANKBARODA,EQ,INE028A01039,Financial Services
IOC,EQ,INE242A01010,Energy
GAIL,EQ,INE129A01019,Energy
HINDCOPPER,EQ,INE531E01026,Basic Materials
NMDC,EQ,INE584A01023,Basic Materials
NATIONALUM,EQ,INE139A01034,Basic Materials
SAIL,EQ,INE114A01011,Basic Materials
SUZLON,EQ,INE040H01021,Industrials
ZOMATO,EQ,INE758T01015,Consumer Cyclical
TATAPOWER,EQ,INE245A01021,Utilities
CANBK,EQ,INE476A01022,Financial Services
CENTRALBK,EQ,INE483A01010,Financial Services
UNIONBANK,EQ,INE692A01016,Financial Services
INDIANB,EQ,INE562A01011,Financial Services
MAHABANK,EQ,INE457A01014,Financial Services
BANDHANBNK,EQ,INE545U01014,Financial Services
RBLBANK,EQ,INE976G01028,Financial Services
FEDERALBNK,EQ,INE171A01029,Financial Services
KARURVYSYA,EQ,INE036D01028,Financial Services
DCBBANK,EQ,INE503A01015,Financial Services
SOUTHBANK,EQ,INE683A01023,Financial Services
UJJIVANSFB,EQ,INE551W01018,Financial Services
EQUITASBNK,EQ,INE063P01018,Financial Services
TATACHEM,EQ,INE092A01019,Basic Materials
VEDL,EQ,INE205A01025,Basic Materials
COALINDIA,EQ,INE522F01014,Energy
ONGC,EQ,INE213A01029,Energy
OIL,EQ,INE274J01014,Energy
NTPC,EQ,INE733E01010,Utilities
POWERGRID,EQ,INE752E01010,Utilities
RECLTD,EQ,INE020B01018,Financial Services
PFC,EQ,INE134E01011,Financial Services
HUDCO,EQ,INE031A01017,Financial Services
IREDA,EQ,INE202E01016,Financial Services
SJVN,EQ,INE002L01015,Utilities
NLCINDIA,EQ,INE589A01014,Energy
MOIL,EQ,INE490G01020,Basic Materials
GMRINFRA,EQ,INE776C01039,Industrials
CESC,EQ,INE486A01021,Utilities
JSWENERGY,EQ,INE121E01018,Utilities
TORNTPOWER,EQ,INE813H01021,Utilities
RPOWER,EQ,INE614G01033,Utilities
RITES,EQ,INE320J01015,Industrials
CONCOR,EQ,INE111A01025,Industrials
BEL,EQ,INE263A01024,Industrials
HAL,EQ,INE066F01020,Industrials
BEML,EQ,INE258A01016,Industrials
IIFL,EQ,INE530B01024,Financial Services
MANAPPURAM,EQ,INE522D01027,Financial Services
MUTHOOTFIN,EQ,INE414G01012,Financial Services
CHOLAFIN,EQ,INE121A01024,Financial Services
LTFH,EQ,INE498L01015,Financial Services
POONAWALLA,EQ,INE511C01022,Financial Services
CREDITACC,EQ,INE741K01010,Financial Services
SPANDANA,EQ,INE572J01011,Financial Services
BAJAJHFL,EQ,INE377Y01014,Financial Services
PNBHOUSING,EQ,INE572E01012,Financial Services
CANFINHOME,EQ,INE477A01020,Financial Services
INDIABS,EQ,INE393A01011,Financial Services
SBICARD,EQ,INE018E01016,Financial Services
EDELWEISS,EQ,INE532F01054,Financial Services
IFCI,EQ,INE039A01010,Financial Services
NBCC,EQ,INE095N01031,Industrials
NIACL,EQ,INE470Y01017,Financial Services
ORIENTINS,EQ,INE569C01020,Financial Services
SHRIRAMFIN,EQ,INE721A01047,Financial Services
MMTC,EQ,INE123F01029,Industrials
MTNL,EQ,INE153A01019,Communication Services
STLTECH,EQ,INE089C01029,Technology
HFCL,EQ,INE548A01028,Technology
TEJASNET,EQ,INE010J01012,Technology
RAILTEL,EQ,INE0DD101019,Technology
NAZARA,EQ,INE418L01021,Communication Services
DIXON,EQ,INE935N01020,Consumer Cyclical
AMBER,EQ,INE371P01015,Consumer Cyclical
AFFLE,EQ,INE00WC01027,Technology
TANLA,EQ,INE483C01032,Technology
ROUTE,EQ,INE450U01017,Technology
LATENTVIEW,EQ,INE0I7C01011,Technology
HAPPYMINDS,EQ,INE419U01012,Technology
IEX,EQ,INE022Q01020,Financial Services
JPPOWER,EQ,INE351F01018,Utilities
TRIDENT,EQ,INE064C01022,Consumer Cyclical
INFIBEAM,EQ,INE483S01020,Technology
